canonical_ar,english,frequency_class,corpus_share_pct,slot1_person_pct,slot2_father_pct,slot3_grandfather_pct,slot4_ancestor_pct,slot5_family_pct,slot6_clan_pct
بكر,Bakr,c,0.053356,2.21,16.31,24.77,27.2,24.87,4.43
علاءالدين,Alaaeldin,c,0.053156,3.59,85.15,7.19,2.51,1.38,0.17
عاشور,Ashour,c,0.052938,0.5,24.02,33.96,16.11,20.32,4.92
عبدالمطلب,Abdelmottaleb,c,0.048851,0.33,5.78,26.65,47.48,18.88,0.88
نجيب,Naguib,c,0.052611,1.28,8.65,40.18,45.82,3.47,0.52
الشربيني,Elsherbiny,c,0.052293,0.42,6.34,16.15,32.29,37.95,6.64
ريتاج,Retaj,c,0.048514,100.0,0.0,0.0,0.0,0.0,0.0
فكري,Fikry,c,0.052239,1.79,17.81,61.99,17.39,0.89,0.12
النجار,Elnaggar,c,0.051476,0.04,0.74,1.78,9.49,63.88,22.55
حسان,Hassaan,c,0.051094,1.78,13.88,22.38,29.44,29.3,3.15
هبة,Heba,c,0.050785,99.68,0.02,0.0,0.02,0.21,0.07
داود,Dawoud,c,0.050395,1.26,4.52,13.7,24.5,47.15,8.4
ميخائيل,Mikhael,c,0.050358,4.44,9.92,17.35,35.91,31.57,0.78
جميل,Gamil,c,0.050222,1.63,36.3,43.66,9.89,6.44,1.9
خضر,Khedr,c,0.050195,0.85,6.89,14.68,19.83,47.67,9.65
كرم,Karam,c,0.050149,6.67,72.0,17.15,1.65,2.06,0.47
علام,Allam,c,0.050104,1.09,8.01,15.99,26.67,39.32,8.16
حسامالدين,Hossameldin,c,0.049995,8.85,82.32,4.51,1.76,2.36,0.18
أمل,Amal,c,0.049813,99.23,0.62,0.15,0.0,0.0,0.0
هدى,Hoda,c,0.049505,99.05,0.0,0.11,0.26,0.51,0.04
إياد,Eyad,c,0.049341,96.72,2.89,0.26,0.13,0.0,0.0
فائز,Fayez,c,0.04925,2.75,33.2,52.42,10.83,0.77,0.04
منير,Mounir,c,0.049196,3.6,28.66,54.41,11.3,1.59,0.39
باسم,Bassem,c,0.048742,34.98,63.94,0.91,0.15,0.02,0.0
أبوالعلا,Aboulela,c,0.048342,0.34,5.39,17.4,35.38,36.96,4.28
خيري,Khairy,c,0.048115,2.93,42.27,43.04,9.68,1.62,0.45
دياب,Diab,c,0.048006,1.49,7.21,19.38,29.03,35.27,7.25
سيفالدين,Seifeldin,c,0.047933,81.92,4.0,5.33,3.75,4.26,0.72
حمودة,Hammouda,c,0.047806,0.57,10.01,15.66,23.56,41.88,7.71
زيدان,Zidan,c,0.047706,1.94,5.73,17.97,28.64,38.54,6.93
عويس,Ewiss,c,0.04767,0.06,7.51,32.49,36.6,20.66,2.55
عزيز,Aziz,c,0.047424,1.36,10.99,34.69,46.96,5.34,0.63
حبيب,Habib,c,0.047243,1.63,4.65,17.09,44.07,26.0,6.25
عبيد,Ebeid,c,0.047034,0.52,8.38,20.92,31.61,33.26,5.12
أبوالفتوح,Aboulfotouh,c,0.046961,0.31,7.33,43.98,38.88,8.59,0.91
شاهين,Shaheen,c,0.046471,1.58,3.91,5.71,17.04,56.76,13.98
فهيم,Fahim,c,0.046471,0.45,6.33,32.19,55.26,5.22,0.53
نورا,Nora,c,0.046471,100.0,0.0,0.0,0.0,0.0,0.0
ريهام,Reham,c,0.046443,100.0,0.0,0.0,0.0,0.0,0.0
مهند,Mohannad,c,0.046089,97.3,2.46,0.22,0.02,0.0,0.0
تسنيم,Tasneem,c,0.04608,99.98,0.02,0.0,0.0,0.0,0.0
طلبة,Tolba,c,0.045971,0.14,5.45,20.19,43.25,28.73,2.09
المرسي,Elmorsy,c,0.045908,0.24,4.73,14.17,35.83,41.69,3.23
أنس,Anas,c,0.045735,82.92,8.66,4.45,2.82,1.11,0.04
أبوالمجد,Aboulmagd,c,0.045335,0.66,8.01,32.24,38.75,18.67,1.6
فرحات,Farahat,c,0.045226,0.52,15.02,30.03,26.75,24.08,3.41
رفاعي,Refaei,c,0.045181,0.8,14.21,22.46,31.18,26.5,4.58
بركات,Barakat,c,0.045172,1.47,13.61,18.88,21.05,38.79,5.83
عطاالله,Atallah,c,0.045154,0.36,7.32,21.06,35.18,31.68,4.2
راشد,Rashed,c,0.04489,1.84,8.8,25.31,32.94,26.61,4.33
راضي,Rady,c,0.044854,2.05,33.66,28.27,17.25,15.31,3.36
رشدي,Roshdy,c,0.044854,3.26,19.08,58.12,16.81,2.35,0.32
مجاهد,Megahed,c,0.044845,0.73,14.2,18.98,32.75,29.23,3.95
